"pInterval.type","lower.tStat.bound","upper.tStat.bound","lower.pInterval.bound","upper.pInterval.bound"
"Discrete Bayesian",0.910449566456067,6.44944977379636,1.25823328356886e-09,0.182212974696079
"P-interval",NA,NA,NA,NA
