"pInterval.type","lower.zStat.bound","upper.zStat.bound","lower.pInterval.bound","upper.pInterval.bound"
"Discrete Bayesian",-0.108349124571627,4.52318934785189,3.04573498831378e-06,0.543140621913975
"P-interval",1.47586779651363,7.01948309391234,1.11345279160882e-12,0.0699896930597055
